ID,MEDV
0,21.203255
1,26.447865
2,15.241025
3,15.927145
4,22.690691
5,21.786528
6,17.883291
7,19.959351
8,34.899750
9,18.486066
10,25.661783
11,22.866997
12,19.148971
13,14.196607
14,17.155709
15,25.696442
16,17.207771
17,27.021161
18,20.688146
19,21.510899
20,24.813134
21,42.193860
22,24.094148
23,10.838008
24,14.120261
25,23.289394
26,13.993025
27,20.171746
28,23.096572
29,12.778605
30,39.004302
31,18.273791
32,16.720525
33,17.913766
34,22.947175
35,21.035709
36,30.531324
37,32.996219
38,43.628093
39,30.186157
40,17.075079
41,38.548212
42,23.503960
43,13.167494
44,23.216699
45,24.529181
46,16.847835
47,22.162094
48,15.636768
49,14.248987
50,18.844762
51,34.370635
52,26.333886
53,7.339179
54,13.293795
55,14.246097
56,19.300607
57,12.691599
58,8.222966
59,16.682227
60,18.837387
61,21.178672
62,35.831514
63,22.352617
64,41.226114
65,32.687826
66,12.877246
67,22.575916
68,23.624369
69,11.812689
70,16.326649
71,19.569198
72,26.706213
73,15.483429
74,20.174361
75,16.090589
76,16.334493
77,30.785579
78,17.567354
79,33.435866
80,34.346526
81,45.474698
82,29.099147
83,33.337956
84,17.230851
85,35.764990
86,10.987287
87,30.262121
88,15.039850
89,19.455879
90,12.446148
91,19.725172
92,13.437687
93,21.093129
94,19.478734
95,24.190769
96,38.867328
97,12.332571
98,13.898756
99,29.025281
100,25.772906
101,14.889296
102,28.498320
103,38.168981
104,33.080573
